,Churn Value,Churn Score,Monthly Charges,Total Charges,Tenure Months,CLTV,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Internet Service,Contract,Paperless Billing
25,1,75,96.75,5238.9,55,5154,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1
26,1,67,76.5,2868.15,37,2793,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
27,1,87,100.25,1064.65,10,5998,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1
28,1,76,74.4,229.55,3,4415,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
29,1,95,78.05,2135.5,27,4638,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1
30,1,99,58.6,1502.65,25,4190,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1
31,1,80,35.45,35.45,1,2301,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
32,1,76,44.35,81.25,2,2570,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33,1,76,70.45,70.45,1,3964,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
34,1,66,71.15,563.65,8,2662,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0
35,1,73,45.65,45.65,1,2600,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
36,1,94,95.0,655.5,7,2786,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0
37,1,86,82.4,1592.35,20,5719,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
38,1,75,70.9,273,4,4287,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
39,1,100,45.3,2651.2,58,5444,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1
40,1,83,104.4,242.8,2,4690,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1
41,1,80,94.85,5000.2,53,4328,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1
42,1,99,74.45,1145.7,15,5717,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1
43,1,81,76.45,503.6,7,4419,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
44,1,95,29.95,29.95,1,4534,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45,1,86,84.5,662.65,8,2152,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0
46,1,73,79.25,1111.65,13,5142,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
47,1,94,24.8,24.8,1,4851,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
48,1,94,91.0,531,6,2283,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1
49,1,98,79.9,79.9,1,3394,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
50,1,71,106.6,1934.45,19,3764,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1
51,1,76,46.0,84.5,2,2667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
52,1,67,70.15,268.35,4,2227,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
53,1,82,50.05,179.35,4,3394,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
54,1,81,55.2,55.2,1,3638,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
55,1,66,84.6,84.6,1,2484,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1
56,1,81,54.4,114.1,2,2556,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
57,1,85,95.0,1120.3,11,5980,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1
58,1,86,74.4,1074.3,15,4616,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
59,1,77,48.55,48.55,1,5687,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
60,1,75,70.4,147.15,2,5687,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
61,1,65,40.2,40.2,1,5828,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0
62,1,99,44.6,80.55,2,4884,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
63,1,96,41.15,132.2,3,2314,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
64,1,84,106.9,1364.3,13,2494,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1
65,1,83,19.35,1099.6,59,5084,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,1,81,94.45,1511.2,16,3810,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1
67,1,73,24.8,24.8,1,5087,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,1,69,70.6,70.6,1,3338,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
69,1,80,85.4,401.1,5,3676,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1
70,1,65,105.05,5624.85,52,4839,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1
71,1,68,95.15,1779.95,18,4643,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
72,1,97,70.0,70,1,4094,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
73,1,80,74.5,606.55,8,4345,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
74,1,83,44.85,435.4,10,4061,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
75,1,98,76.1,1712.7,24,2018,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1
76,1,80,73.6,73.6,1,2565,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
77,1,85,95.45,396.1,4,3677,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
78,1,69,74.9,2303.35,32,4105,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1
79,1,69,80.6,415.55,5,5715,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
80,1,81,80.3,3058.65,38,2071,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0
81,1,73,93.15,2231.05,24,2212,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1
82,1,83,82.45,4350.1,54,4149,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0
83,1,73,70.35,139.05,2,2671,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
84,1,67,73.85,511.25,7,2473,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
85,1,92,80.6,155.8,2,2683,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
86,1,81,75.8,5293.95,68,4903,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1
87,1,91,104.6,4759.85,43,5250,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1
88,1,98,103.4,6603,63,4352,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1
89,1,76,90.4,168.2,2,4157,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
90,1,73,84.8,371.9,4,4939,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1
91,1,97,41.9,840.1,21,4778,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
92,1,85,80.25,846,10,3598,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
93,1,91,30.75,805.1,27,2927,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
94,1,98,96.5,492.55,5,5383,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0
95,1,73,85.65,181.5,2,3878,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
96,1,66,104.95,2566.5,25,3642,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1
97,1,76,50.65,50.65,1,2431,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
98,1,81,90.85,90.85,1,3424,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1
99,1,80,19.95,214.75,11,5888,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
100,1,100,85.45,4874.7,55,5502,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1
101,1,94,73.95,2524.45,34,5795,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
102,1,80,99.45,7007.6,69,4020,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1
103,1,92,19.9,19.9,1,3351,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
104,1,95,19.6,19.6,1,3448,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
105,1,73,81.35,233.7,3,2818,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1
106,1,88,83.3,1845.9,22,3804,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
107,1,67,75.3,75.3,1,4902,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
108,1,82,19.4,1182.55,61,4221,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
109,1,68,45.4,518.9,12,2887,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
110,1,84,105.9,6396.45,60,4105,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
111,1,73,69.55,69.55,1,2792,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
112,1,98,81.05,2227.1,28,5201,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
113,1,84,101.15,385.9,4,4417,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0
114,1,98,99.8,673.25,7,2031,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1
115,1,91,55.95,734.35,13,4498,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
116,1,71,55.0,55,1,4877,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
117,1,80,74.7,74.7,1,5980,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
118,1,77,80.25,1861.5,24,4418,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
119,1,66,96.1,453.4,5,4192,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1
120,1,73,69.0,994.8,15,5671,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
121,1,65,45.3,2145,48,4926,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1
122,1,65,83.55,680.05,8,2879,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1
123,1,93,74.35,74.35,1,2814,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
124,1,77,74.4,139.4,2,4263,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
125,1,66,43.75,903.6,22,3099,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
126,1,89,28.45,131.05,5,4099,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
127,1,76,99.7,1238.45,12,2538,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1
128,1,87,94.1,1782.4,20,2666,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1
129,1,72,94.2,167.5,2,3715,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1
130,1,98,80.5,502.85,6,5032,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
131,1,82,74.35,334.8,5,5273,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1
132,1,88,104.8,4131.95,40,3492,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0
133,1,99,75.2,1929.35,27,4517,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1
134,1,81,75.6,1758.6,23,2115,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
135,1,72,100.05,3480,34,2568,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1
136,1,80,85.0,85,1,5679,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
137,1,85,86.05,834.1,10,2966,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
138,1,74,45.55,597,13,4856,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1
139,1,98,86.3,3266,39,3364,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
140,1,92,80.35,2596.15,32,5974,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
141,1,72,100.25,3527.6,35,2744,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1
142,1,67,100.3,5614.45,56,5170,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0
143,1,72,19.0,233.55,12,3535,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
144,1,87,75.3,75.3,1,3244,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
145,1,74,89.2,346.2,4,5808,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1
146,1,66,85.7,85.7,1,4880,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1
147,1,67,61.65,713.75,12,5670,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1
148,1,91,105.25,6786.4,65,4196,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0
149,1,83,29.95,248.95,9,2573,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
150,1,76,65.0,663.05,9,3983,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0
151,1,100,20.0,137.6,7,4479,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
152,1,96,90.05,4547.25,49,5059,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0
153,1,65,110.75,4687.9,43,2728,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1
154,1,89,105.5,6985.65,65,5720,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1
155,1,91,104.55,5794.65,56,6268,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1
156,1,75,85.25,855.3,10,3573,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1
157,1,65,56.15,2499.3,43,2152,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
158,1,99,89.55,89.55,1,4996,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1
159,1,84,94.55,1899.65,20,5604,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1
160,1,95,45.7,45.7,1,2295,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
161,1,80,89.5,161.5,2,2065,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
162,1,87,69.55,222.3,3,2876,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
163,1,94,74.6,74.6,1,3860,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
164,1,83,19.65,164.3,8,5432,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
165,1,68,19.85,35.9,2,2362,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
166,1,93,24.25,96.05,4,2038,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
167,1,80,69.65,145.15,2,2323,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
168,1,78,45.65,191.05,4,2864,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
169,1,78,75.05,75.05,1,4838,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
170,1,90,49.15,2550.9,52,5597,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1
171,1,65,34.7,62.25,2,3146,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
172,1,88,80.0,80,1,2046,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
173,1,89,49.25,91.1,2,3475,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
174,1,69,75.1,270.7,3,4965,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
175,1,86,50.15,168.15,3,3273,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1
176,1,85,79.85,2015.35,25,4535,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
177,1,66,19.55,19.55,1,3556,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
178,1,74,85.95,381.3,4,5640,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1
179,1,67,45.35,141.5,3,2450,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
180,1,96,94.5,3105.55,33,4333,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1
181,1,97,91.7,2758.15,30,2482,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0
182,1,73,87.25,3941.7,45,5269,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1
183,1,80,98.55,1008.55,10,3658,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0
184,1,92,98.55,1842.8,20,5444,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1
185,1,96,85.9,1269.55,15,3579,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
186,1,82,89.25,1907.85,22,3161,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
187,1,66,70.3,208.85,3,3038,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
188,1,77,93.35,1444.65,15,5264,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1
189,1,100,19.9,19.9,1,4248,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
190,1,79,88.9,454.15,5,4356,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1
191,1,76,95.8,3036.75,33,4161,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1
192,1,97,82.0,184.65,2,3051,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
193,1,81,45.35,89.5,2,3478,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
194,1,71,52.2,52.2,1,4138,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
195,1,81,110.0,4874.8,46,2403,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1
196,1,92,96.75,6125.4,62,5016,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
197,1,74,98.5,1058.25,10,5184,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1
198,1,75,85.35,489.45,6,4694,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
199,1,70,101.3,4113.1,40,2576,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1
200,1,76,69.55,69.55,1,3042,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
201,1,74,103.25,6017.65,58,6105,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1
202,1,80,104.0,7250.15,70,4544,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1
203,1,95,86.2,178.7,2,2969,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
204,1,89,111.2,2317.1,21,4123,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1
205,1,73,89.45,1430.25,16,3696,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1
206,1,83,95.6,644.35,7,3265,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1
207,1,76,90.95,5453.4,60,4111,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
208,1,82,108.55,5610.7,50,4274,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0
209,1,72,78.85,292.8,4,5301,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
210,1,89,44.4,44.4,1,3522,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
211,1,83,100.0,5509.3,55,5679,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
212,1,94,19.8,229.6,12,2653,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
213,1,80,89.9,89.9,1,5951,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1
214,1,91,100.15,6413.65,62,5600,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
215,1,85,50.8,50.8,1,3718,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
216,1,95,73.65,1463.5,20,5849,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1
217,1,77,95.1,307.4,3,5861,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1
218,1,85,94.65,2104.55,22,3665,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1
219,1,86,80.6,319.15,4,3080,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
220,1,80,85.55,5084.65,59,6304,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
221,1,67,50.8,3027.4,60,4941,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
222,1,84,105.1,1582.75,15,2122,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0
223,1,76,110.1,1043.3,10,5803,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1
224,1,97,83.9,497.55,6,3962,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
225,1,79,100.55,6215.35,63,5413,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1
226,1,100,103.85,5017.9,50,5812,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1
227,1,76,24.6,24.6,1,5768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
228,1,71,98.9,1120.95,12,5559,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1
229,1,81,98.3,923.5,9,2954,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
230,1,93,93.85,1625.65,17,4940,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0
231,1,70,100.5,918.6,9,4038,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1
232,1,99,72.85,688.65,10,3189,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
233,1,94,73.55,73.55,1,4369,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1
234,1,91,79.4,205.05,3,3501,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1
235,1,79,81.15,952.3,13,4806,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
236,1,83,84.6,360.1,4,2467,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1
237,1,99,79.05,434.5,6,3263,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
238,1,97,74.4,215.8,3,2054,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
239,1,82,99.05,3395.8,35,2074,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1
240,1,84,44.95,85.15,2,5900,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
241,1,74,44.7,44.7,1,3700,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
242,1,72,45.7,45.7,1,3571,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
243,1,74,100.3,832.35,8,5084,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0
244,1,82,19.25,112.3,7,4489,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
245,1,83,96.0,174.8,2,3391,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1
246,1,72,90.55,90.55,1,2627,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
247,1,96,30.35,1359.7,44,4829,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
248,1,81,108.05,7532.15,71,5200,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1
249,1,84,69.9,69.9,1,5367,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
250,1,91,103.75,6383.35,62,5052,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1
251,1,93,86.6,86.6,1,5228,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1
252,1,72,80.6,2656.5,33,3601,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1
253,1,88,85.3,2917.5,35,2455,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
254,1,93,70.0,2416.1,34,2318,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
255,1,99,94.3,424.45,4,5419,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1
256,1,92,95.35,660.9,7,3077,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1
257,1,65,75.5,1893.95,27,2377,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1
258,1,80,90.1,1612.75,18,4260,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1
259,1,84,68.95,119.75,2,5225,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
260,1,71,99.55,3204.65,32,5026,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1
261,1,84,57.45,990.85,18,2989,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
262,1,78,53.65,696.35,12,2595,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
263,1,90,100.6,819.4,8,5906,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1
264,1,84,83.75,2070.6,26,2404,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1
265,1,68,88.3,273.75,3,4486,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1
266,1,81,92.1,729.95,8,5662,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1
267,1,85,79.45,3013.05,38,2405,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1
268,1,96,90.45,1266.1,14,4777,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0
269,1,96,69.75,2347.9,32,2356,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
270,1,99,19.65,19.65,1,5881,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
271,1,74,43.65,526.95,12,2437,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1
272,1,93,39.5,210.75,5,2863,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
273,1,67,97.1,3706.95,40,3099,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1
274,1,97,80.0,412.5,5,3937,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
275,1,69,84.7,832.05,10,5686,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
276,1,73,89.55,185.55,2,3851,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1
277,1,82,90.6,1943.2,23,4359,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1
